RNEC Number,EudraCT Number,Protocol Number,Type of Study,Sponsor's Name,Title of the trial,Recruitment Status,Date of Global End,Infarmed Authorization Date,CEC Opinion Date,Non-technical title,Paediatric Investigation Plan,Medical condition(s),Therapeutic Confirmatory (Phase II),Therapeutic Confirmatory (Phase III),Therapeutic Confirmatory (Phase IV),Age_Range,Gender
5601,2016-000704-28,GCP#05.01.020,Interventional studies with investigational medicinal products,Gamida Cell Ltd.,"A Multicenter, Randomized, Phase III Registration Trial of Transplantation of NiCord®, Ex Vivo Expanded, Umbilical Cord Blood-derived, Stem and Progenitor Cells, versus Unmanipulated Umbilical Cord Blood for Patients with Hematological Malignancies",Not Commenced,,22/01/2019,30/09/2019,"A multicenter trial of transplantation of NiCord, stem cells from donated umbilical cord blood that were grown in a laboratory to expand their number versus unmanipulated umbilical cord blood for patients with cancers of the blood and lymph",No,High risk haematological malignancies,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
5621,2018-001967-22,MK-3475-676,Interventional studies with investigational medicinal products,Merck Sharp & Dohme LLC,"A Phase 3, Randomized, Comparator-controlled Clinical Trial to Study the Efficacy and Safety of Pembrolizumab (MK-3475) in Combination with Bacillus Calmette- Guerin (BCG) in Participants with High-risk Non-muscle Invasive Bladder Cancer (HR NMIBC) that is either Persistent or Recurrent Following BCG Induction or that is Naïve to BCG Treatment (KEYNOTE-676)",Active,,06/11/2018,23/01/2019,A Phase 3 trial of BCG with or without pembrolizumab for high risk non-muscle invasive bladder cancer (KEYNOTE-676),No,High-risk Non-muscle Invasive Bladder Cancer (NMIBC),,Yes,,"Adult , Elderly","Female , Male"
5641,2017-004295-55,RPC01-3204,Interventional studies with investigational medicinal products,Celgene International II Sàrl,"A Phase 3, Multicenter, Open-Label Extension Study of Oral Ozanimod for Moderately to Severely Active Crohn¿s Disease",Not Commenced,,06/12/2018,21/02/2019,Multicenter Extension Study of Oral Ozanimod in patients with Moderately to Severely Active Crohn¿s Disease,No,Moderately to Severely Active Crohn¿s Disease,,Yes,,"Adult , Elderly","Female , Male"
5661,2016-001787-10,IG1407,Interventional studies with investigational medicinal products,"INSTITUTO GRIFOLS, S.A.","Effects of Plasma Exchange with Human Serum Albumin 5% (PE-A 5%) on Short-term Survival in Subjects with ""Acute-On-Chronic Liver Failure"" (ACLF) at High Risk of Hospital Mortality",Active,,08/01/2019,04/02/2019,Acute-On-Chronic Liver Failure (ACLF) at High Risk of Hospital Mortality,No,"Subjects with cirrhosis with ACLF-1b, ACLF-2, or ACLF-3a detected either at admission or during
hospitalization",,Yes,,"Adult , Elderly","Female , Male"
5662,2015-004505-16,CONVINCE,Interventional studies with investigational medicinal products,University College Dublin,"CONVINCE - (COlchicine for preventioN of Vascular Inflammation in Non- CardioEmbolic stroke) ¿ a randomised clinical trial of low-dose colchicine
for secondary prevention after stroke",Not Commenced,,08/04/2019,,The Use of Colchicine (an anti-inflammatory drug) in  Prevention of  Recurrent Stroke or heart attack after first Stroke; a randomised controlled trial,No,"The prevention of recurrent stroke and coronary events (fatal and non- fatal) after ischaemic stroke and transient ischaemic attack (TIA) not
caused by cardiac embolism or other causes unrelated to atherosclerosis.",,Yes,,"Adult , Elderly","Female , Male"
5681,2017-000690-36,TED14856,Interventional studies with investigational medicinal products,Sanofi-aventis recherche & développement,"A Phase 1/2 Study for the Safety, Efficacy, Pharmacokinetic, and Pharmacodynamics Evaluation of SAR439859, Administered Orally as Monotherapy, then in Combination with Palbociclib in Postmenopausal Women with Estrogen Receptor-positive Advanced Breast Cancer
",Not Commenced,,23/11/2018,04/02/2019,"Phase 1 / 2 of SAR439859 single agent or in combination with palbociclib in postmenopausal women estrogen receptor positive advanced breast cancer
",No,"Cancer
",Yes,,,"Adult , Elderly",Female
5701,2018-001383-28,M18-891,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,"A Phase 3 Randomized, Placebo-Controlled, Double-Blind Study to Evaluate Upadacitinib in Adolescent and Adult Subjects with Moderate to Severe Atopic Dermatitis",Ended,,07/09/2018,14/02/2019,Evaluation of Upadacitinib in Adolescent and Adult Patients with Moderate to Severe Atopic Dermatitis (Eczema) ¿ Measure Up 2,No,Moderate and Severe Atopic Dermatitis,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
5722,2014-001363-12,TRIANGLE,Interventional studies with investigational medicinal products,Klinikum der Universität München,Autologous Transplantation after a Rituximab/Ibrutinib/Ara-c containing iNduction  in Generalized mantle cell Lymphoma ¿ a randomized European MCL Network trial,Active,,12/11/2018,16/05/2019,Autologous Transplantation after a Rituximab/Ibrutinib/Ara-c containing iNduction  in Generalized mantle cell Lymphoma ¿ a randomized European MCL Network trial,No,Generalized mantle cell Lymphoma,,Yes,,Adult,"Female , Male"
5723,2017-004825-34,KHB-1801,Interventional studies with investigational medicinal products,"Chengdu Kanghong Biotechnology Co., Ltd.","A Multicenter, Double-Masked, Randomized, Dose-Ranging Trial to Evaluate the Efficacy and Safety of Conbercept Intravitreal Injection in Subjects with Neovascular Age related Macular Degeneration",Ended,,22/01/2019,13/02/2019,"A multicenter, double-blinded, randomized, different doses study to evaluate the efficacy and safety of Conbercept injection in patients with Neovascular Age related Macular Degeneration",No,Neovascular Age Related Macular Degeneration,,Yes,,"Adult , Elderly","Female , Male"
5841,2018-001303-36,TRCA-303,Interventional studies with investigational medicinal products,Tricida Inc.,"A Phase 3b, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of TRC101 in Delaying Chronic Kidney Disease Progression in Subjects with Metabolic Acidosis",Active,,27/12/2018,18/03/2019,"A clinical study with patients who have increased acid in their blood because of chronic kidney disease that is testing if the experimental drug TRC101, compared to placebo (a substance that does not contain medicine), is safe and if it slows down worsening of kidney disease.
",No,Chronic kidney disease,,Yes,,"Adult , Elderly","Female , Male"
5861,2014-002277-11,20120123,Interventional studies with investigational medicinal products,Amgen Inc.,"Double-blind, Randomized, Multicenter, Placebo-Controlled, Parallel Group Study to Characterize the Efficacy, Safety, and Tolerability of 24 Weeks of Evolocumab for Low Density Lipoprotein-Cholesterol (LDL-C) Reduction, as Add-On to Diet and Lipid-Lowering Therapy, in Pediatric Subjects 10 to 17 Years of Age With Heterozygous Familial Hypercholesterolemia (HeFH)",Not Commenced,,15/10/2018,25/02/2019,Study to assess the long term safety and efficacy of evolocumab in children aged 10 to 17 years with Heterozygous Familial Hypercholesterolemia,Yes,Heterozygous familial hypercholesterolemia,,Yes,,Under 18,"Female , Male"
5921,2016-000642-62,M14-675,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,"M14-675, A Multicenter, Randomized, Double-Blind, Placebo-Controlled Induction Study to Evaluate the Efficacy and Safety of Upadacitinib (ABT-494) in Subjects with Moderately to Severely Active Ulcerative Colitis ",Ended,,17/10/2018,23/09/2019,"A Study of the Efficacy and Safety of Upadacitinib (ABT-494) in subjects with Moderately to Severely Active Ulcerative Colitis 
",No,Ulcerative Colitis,,Yes,,"Adult , Elderly","Female , Male"
5941,2017-004703-51,COMB157G2399,Interventional studies with investigational medicinal products,Novartis Pharma AG,"An open-label, single arm, multi-center extension study evaluating long-term safety, tolerability and effectiveness of ofatumumab in subjects with relapsing multiple sclerosis
",Ended,,06/11/2018,23/04/2019,"Long-term safety, tolerability and effectiveness study of ofatumumab in subjects with relapsing multiple sclerosis
",No,Multiple sclerosis,,Yes,,Adult,"Female , Male"
5961,2018-002796-18,BIA-51058-202,Interventional studies with investigational medicinal products,"Bial - Portela & Cª, S.A.                                                                           ","An open-label, multicentre study to evaluate the safety and efficacy of zamicastat as adjunctive therapy in long-term treatment of pulmonary arterial hypertension (PAH) disease",Not Commenced,,30/07/2019,14/01/2019,"To study the safety and effectiveness of the maximum tolerated dose of zamicastat, found in BIA-51058-201, in the treatment of long-term PAH. ",No,Pulmonary arterial hypertension,Yes,,,"Adult , Elderly","Female , Male"
6001,2018-003163-67,CAEB1102-102A,Interventional studies with investigational medicinal products,"Aeglea Biotherapeutics, Inc.","An Open-label, Multicenter Study to Evaluate the Long-Term Safety, Tolerability, and Efficacy of AEB1102 in Patients with Arginase I Deficiency",Active,,21/12/2018,18/03/2019,"An Open-label, Multicenter Study to Evaluate the Long-Term Safety, Tolerability, and Efficacy of AEB1102 in Patients with Arginase I Deficiency",Yes,"Arginase 1 deficiency
Hyperargininemia",Yes,,,"Under 18 , Adult","Female , Male"
6021,2018-002442-37,ACT15320,Interventional studies with investigational medicinal products,Sanofi-aventis recherche & développement,"A Phase 1/2 open-label, multi-center, safety, preliminary efficacy and pharmacokinetic (PK) study of isatuximab in combination with other anti-cancer therapies in participants with lymphoma",Not Commenced,,13/02/2019,01/04/2019,A Study of Isatuximab-based Therapy in Participants with Lymphoma,No,Lymphoma,Yes,,,"Under 18 , Adult , Elderly","Female , Male"
6061,2018-000519-26,8951-CL-0302,Interventional studies with investigational medicinal products,"Astellas Pharma Global Development, Inc. (APGD)","A Phase 3, Global, Multi-Center, Double-Blind, Randomized, Efficacy Study of Zolbetuximab (IMAB362) Plus CAPOX Compared with Placebo Plus CAPOX as First-line Treatment of Subjects with Claudin (CLDN) 18.2-Positive, HER2-Negative, Locally Advanced Unresectable or Metastatic Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma",Active,,07/03/2019,18/03/2019,"A Phase 3, Global, Multi-Center, Double-Blind, Randomized, Efficacy Study of Zolbetuximab (IMAB362) Plus CAPOX Compared with Placebo Plus CAPOX as First-line Treatment of Subjects with Claudin (CLDN) 18.2-Positive, HER2-Negative, Locally Advanced Unresectable or Metastatic Gastric or Gastroesophageal Junction (GEJ) Adenocarcinoma",No,"Claudin (CLDN)18.2-Positive, HER2-Negative, Locally Advanced Unresectable or Metastatic Gastric or
Gastroesophageal Junction (GEJ) Adenocarcinoma",,Yes,,"Adult , Elderly","Female , Male"
6081,2017-003200-48,EP0091,Interventional studies with investigational medicinal products,UCB Biopharma SRL,"A Randomized, Double-Blind, Placebo-Controlled, Dose Finding Study to Evaluate the Efficacy and Safety of Padsevonil as Adjunctive Treatment of Focal-Onset Seizures in Adult Subjects with Drug- Resistant Epilepsy
",Not Commenced,,21/12/2018,07/06/2019,"Study to test the efficacy and safety of Padsevonil as adjunctive treatment of focal-onset seizures in adults with drug-resistant epilepsy
",No,"Focal-Onset Seizures
",Yes,,,"Adult , Elderly","Female , Male"
6141,2015-002276-25,20120124,Interventional studies with investigational medicinal products,Amgen Inc.,"Open-label, Single-arm, Multicenter Study to Evaluate the Safety, Tolerability and Efficacy of Evolocumab for LDL-C Reduction, as Add-on to Diet and Lipid-lowering Therapy, in Pediatric Subjects From 10 to 17 Years of Age With Heterozygous Familial Hypercholesterolemia (HeFH) or Homozygous Familial Hypercholesterolemia (HoFH)",Not Commenced,,11/12/2018,11/09/2019,Study to assess the safety and efficacy of evolocumab in children aged 10 to 17 years with Heterozygous Familial Hypercholesterolemia or Homozygous Familial Hypercholesterolemia ,Yes,Hypercholesterolemia,,Yes,,Under 18,"Female , Male"
6182,2017-002465-22,M16-011,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,"A Phase 3, Randomized, Double-Blind, Study Comparing Risankizumab to Placebo in Subjects with Active Psoriatic Arthritis (PsA) Who Have a History of Inadequate Response to or intolerance to at Least One Disease Modifying Anti-Rheumatic Drug (DMARD) Therapy (KEEPsAKE 1)
",Ended,,15/11/2018,06/03/2019,A Study Comparing Risankizumab to Placebo in Subjects with Active Psoriatic Arthritis (PsA) Who Have a History of Inadequate Response to or Intolerance to at Least One Disease Modifying Anti-Rheumatic Drug (DMARD)Therapy (KEEPsAKE 1),No,Psoriatic Arthritis.,,Yes,,"Adult , Elderly","Female , Male"
6201,2017-002464-40,M15-998,Interventional studies with investigational medicinal products,AbbVie Deutschland GmbH & Co. KG,"A Phase 3, Randomized, Double-Blind Study Comparing Risankizumab to Placebo in Subjects with Active Psoriatic Arthritis Including Those Who Have a History of Inadequate Response or intolerance to Biologic Therapy(ies) (KEEPsAKE 2)
",Ended,,16/11/2018,06/03/2019,"A Study Comparing Risankizumab to Placebo in Subjects with Active Psoriatic Arthritis Including Those Who Have a History of Inadequate Response or Intolerance to Biologic Therapy(ies)
",No,Psoriatic arthritis,,Yes,,"Adult , Elderly","Female , Male"
6202,2018-002484-25,TAK-935-2002(OV935),Interventional studies with investigational medicinal products,Ovid Therapeutics Inc.,"A PHASE 2, MULTICENTER, RANDOMIZED, DOUBLE-BLIND, PLACEBO-CONTROLLED STUDY TO EVALUATE THE EFFICACY, SAFETY, AND TOLERABILITY OF TAK-935 AS AN ADJUNCTIVE THERAPY IN PEDIATRIC PATIENTS WITH DEVELOPMENTAL AND/OR EPILEPTIC ENCEPHALOPATHIES",Active,,08/02/2019,26/06/2019,"A phase 2, multicenter, randomized,  double-blind, controlled with placebo,  to obtaine efficacy , safety and tolerability  information for TAK-935 as an adjuntive therapy in  pediatric patinets ((aged ¿2 and ¿17 years) with  developmental and/or epileptic encephlopathies (Dravet syndrome and Lennox Gastaut)",No,Epileptic Encephalitis: Dravet and Lennox Gastuat syndrome (LGS),Yes,,,Under 18,"Female , Male"
6241,2018-002141-11,Vedolizumab-3035,Interventional studies with investigational medicinal products,"Millennium Pharmaceuticals, Inc","A Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy and Safety of Vedolizumab in the Prophylaxis of Intestinal Acute Graft Versus Host Disease in Subjects Undergoing Allogeneic Hematopoietic Stem Cell Transplantation",Active,,17/12/2018,12/03/2019,"A clinical trial of Vedolizumab vs. placebo (dummy drug) for the prevention of intestinal Acute Graft Versus Host Disease (aGvHD), in patients undergoing allo-HSCT for a hematologic malignancy, (cancers that affect the blood and/or lymphatic system). ",Yes,Intestinal acute graft-versus-host disease (aGvHD) ,,Yes,,"Under 18 , Adult , Elderly","Female , Male"
